user_id,item_id,event_type,created_at,destination_category,destination_popularity,cultural_score,adventure_score,relaxation_score,category_diversity,trust_score,user_total_feedback_count,is_strong_engagement,has_positive_feedback,label
user_158,dest_47,save,2026-03-13T04:34:09.770Z,cultural,0.680,0.783,0.713,0.383,0.494,0.377,13,1,1,1
user_156,dest_23,view,2026-03-17T23:49:36.168Z,adventure,0.924,0.659,0.811,0.573,0.496,0.610,5,0,0,0
user_5,dest_46,trip_click,2026-03-03T00:41:32.190Z,mixed,0.807,0.453,0.729,0.508,0.466,0.801,35,1,1,1
user_175,dest_78,view,2026-03-15T11:57:43.482Z,relaxation,0.018,0.715,0.608,0.695,0.441,0.530,49,0,0,0
user_3,dest_43,view,2026-03-23T12:51:25.531Z,adventure,0.661,0.229,0.708,0.678,0.850,0.538,48,0,0,0
user_156,dest_96,view,2026-03-24T01:15:51.755Z,mixed,0.579,0.659,0.811,0.573,0.496,0.610,5,0,0,0
user_44,dest_6,view,2026-03-19T01:37:25.524Z,mixed,0.053,0.574,0.330,0.903,0.354,0.649,10,0,1,1
user_93,dest_70,save,2026-03-18T10:03:19.796Z,adventure,0.314,0.307,0.641,0.447,0.564,0.785,44,1,1,1
user_109,dest_9,view,2026-03-20T06:42:01.803Z,relaxation,0.409,0.341,0.580,0.240,0.353,0.304,3,0,0,0
user_123,dest_50,view,2026-03-13T00:59:33.587Z,relaxation,0.981,0.814,0.223,0.784,0.901,0.529,43,0,1,1
user_194,dest_59,view,2026-02-28T17:33:42.849Z,adventure,0.746,0.311,0.683,0.772,0.208,0.621,35,0,1,1
user_75,dest_60,save,2026-02-28T20:59:41.335Z,mixed,0.516,0.438,0.503,0.768,0.512,0.644,44,1,1,1
user_77,dest_56,save,2026-03-10T16:20:24.662Z,mixed,0.175,0.511,0.245,0.491,0.509,0.734,42,1,1,1
user_62,dest_74,book,2026-03-24T12:07:51.885Z,relaxation,0.107,0.756,0.735,0.341,0.845,0.701,10,1,0,1
user_118,dest_39,save,2026-03-05T01:50:53.975Z,mixed,0.901,0.339,0.679,0.671,0.100,0.558,37,1,0,1
user_171,dest_83,view,2026-03-14T06:24:29.134Z,mixed,0.230,0.749,0.303,0.530,0.117,0.301,38,0,0,0
user_58,dest_72,save_trip,2026-02-28T18:54:27.598Z,cultural,0.624,0.972,0.727,0.318,0.648,0.877,31,1,1,1
user_40,dest_6,save,2026-02-27T07:56:41.104Z,mixed,0.053,0.500,0.290,0.849,0.839,0.688,21,1,0,1
user_142,dest_15,save,2026-03-09T01:24:39.389Z,adventure,0.719,0.442,0.280,0.799,0.000,0.363,22,1,1,1
user_145,dest_95,book,2026-03-08T15:43:39.212Z,relaxation,0.458,0.667,0.570,0.770,0.030,0.466,27,1,0,1
user_181,dest_39,view,2026-02-26T08:14:16.624Z,mixed,0.901,0.249,0.924,0.334,0.329,0.863,30,0,0,0
user_141,dest_60,save_trip,2026-02-26T08:22:20.484Z,mixed,0.516,0.408,0.943,0.379,0.662,0.474,1,1,0,1
user_82,dest_12,view,2026-02-27T21:50:09.516Z,cultural,0.815,0.382,0.741,0.593,0.278,0.637,43,0,1,1
user_189,dest_22,view,2026-02-26T08:15:21.425Z,relaxation,0.929,0.913,0.219,0.628,0.443,0.705,29,0,0,0
user_73,dest_55,view,2026-03-21T06:20:25.669Z,mixed,0.554,0.816,0.692,0.230,0.512,0.846,34,0,0,0
user_71,dest_26,view,2026-02-26T08:03:00.179Z,mixed,0.131,0.556,0.227,0.621,0.094,0.581,41,0,0,0
user_67,dest_44,view,2026-03-21T23:17:58.282Z,relaxation,0.477,0.574,0.279,0.760,0.305,0.664,46,0,1,1
user_170,dest_4,view,2026-03-22T17:44:41.344Z,adventure,0.523,0.674,0.771,0.547,0.820,0.486,23,0,1,1
user_170,dest_33,save_trip,2026-03-06T21:31:02.178Z,relaxation,0.784,0.674,0.771,0.547,0.820,0.486,23,1,1,1
user_163,dest_85,book,2026-03-08T02:33:24.377Z,mixed,0.524,0.221,0.785,0.466,0.025,0.669,29,1,0,1
user_51,dest_90,save_trip,2026-02-26T23:05:25.536Z,cultural,0.048,0.998,0.378,0.553,0.463,0.472,42,1,1,1
user_9,dest_71,save,2026-03-02T06:10:26.588Z,relaxation,0.681,0.529,0.869,0.606,0.697,0.783,40,1,1,1
user_61,dest_15,view,2026-03-01T07:47:14.392Z,adventure,0.719,0.905,0.519,0.482,0.591,0.557,12,0,1,1
user_9,dest_39,view,2026-03-06T04:57:21.927Z,mixed,0.901,0.529,0.869,0.606,0.697,0.783,40,0,1,1
user_44,dest_86,book,2026-03-19T12:03:09.589Z,adventure,0.545,0.574,0.330,0.903,0.354,0.649,10,1,1,1
user_78,dest_39,trip_click,2026-03-15T20:58:50.487Z,mixed,0.901,0.542,0.715,0.295,0.062,0.542,15,1,0,1
user_189,dest_49,save,2026-03-18T18:54:05.821Z,adventure,0.998,0.913,0.219,0.628,0.443,0.705,29,1,0,1
user_30,dest_45,trip_click,2026-03-14T21:30:55.900Z,relaxation,0.330,0.469,0.372,0.879,0.071,0.881,29,1,1,1
user_17,dest_89,view,2026-02-27T11:28:30.497Z,cultural,0.940,0.610,0.955,0.713,0.434,0.587,31,0,0,0
user_72,dest_60,view,2026-03-12T14:11:56.309Z,mixed,0.516,0.972,0.346,0.328,0.108,0.322,31,0,1,1
user_63,dest_84,book,2026-03-02T03:48:23.066Z,cultural,0.802,0.542,0.453,0.694,0.330,0.367,31,1,0,1
user_196,dest_91,view,2026-03-20T22:40:12.410Z,cultural,0.181,0.493,0.762,0.651,0.473,0.512,48,0,0,0
user_124,dest_62,trip_click,2026-03-22T21:25:43.970Z,cultural,0.926,0.508,0.813,0.298,0.673,0.501,11,1,1,1
user_168,dest_20,view,2026-03-01T03:40:18.729Z,adventure,0.109,0.733,0.559,0.580,0.591,0.604,37,0,1,1
user_65,dest_60,trip_click,2026-02-27T07:20:15.444Z,mixed,0.516,0.679,0.700,0.780,0.013,0.796,22,1,1,1
user_2,dest_15,save_trip,2026-02-28T11:38:57.476Z,adventure,0.719,0.468,0.300,0.327,0.270,0.352,49,1,0,1
user_75,dest_71,view,2026-03-05T04:40:57.427Z,relaxation,0.681,0.438,0.503,0.768,0.512,0.644,44,0,1,1
user_167,dest_77,save_trip,2026-03-05T13:24:54.946Z,adventure,0.882,0.326,0.781,0.534,0.096,0.316,3,1,1,1
user_80,dest_46,view,2026-02-25T21:04:00.522Z,mixed,0.807,0.694,0.719,0.360,0.712,0.865,38,0,1,1
user_197,dest_29,view,2026-03-01T17:54:06.183Z,cultural,0.232,0.437,0.218,0.954,0.831,0.588,12,0,0,0
user_8,dest_51,trip_click,2026-02-25T22:28:25.768Z,mixed,0.666,0.680,0.719,0.347,0.197,0.349,43,1,1,1
user_59,dest_13,book,2026-03-11T12:27:41.382Z,adventure,0.122,0.683,0.485,0.705,0.968,0.847,35,1,1,1
user_159,dest_12,trip_click,2026-02-27T07:15:31.029Z,cultural,0.815,0.742,0.582,0.642,0.091,0.511,18,1,1,1
user_101,dest_14,save,2026-03-27T07:36:46.067Z,cultural,0.002,0.477,0.848,0.446,0.622,0.699,49,1,0,1
user_123,dest_52,view,2026-03-17T04:52:39.538Z,mixed,0.436,0.814,0.223,0.784,0.901,0.529,43,0,1,1
user_170,dest_16,save_trip,2026-03-02T16:13:44.695Z,relaxation,0.677,0.674,0.771,0.547,0.820,0.486,23,1,0,1
user_135,dest_83,view,2026-03-04T03:28:24.520Z,mixed,0.230,0.543,0.894,0.287,0.349,0.310,42,0,0,0
user_127,dest_76,trip_click,2026-03-21T22:41:06.505Z,cultural,0.913,0.993,0.208,0.700,0.459,0.483,45,1,1,1
user_33,dest_87,save,2026-03-08T05:04:01.652Z,adventure,0.809,0.521,0.482,0.886,0.547,0.626,19,1,1,1
user_130,dest_26,book,2026-03-10T13:17:34.705Z,mixed,0.131,0.846,0.778,0.683,0.992,0.362,1,1,0,1
user_167,dest_32,save,2026-03-20T11:28:31.422Z,cultural,0.037,0.326,0.781,0.534,0.096,0.316,3,1,0,1
user_160,dest_14,book,2026-03-14T18:51:46.157Z,cultural,0.002,0.659,0.227,0.214,0.420,0.319,7,1,0,1
user_127,dest_32,view,2026-03-18T14:49:36.612Z,cultural,0.037,0.993,0.208,0.700,0.459,0.483,45,0,0,0
user_31,dest_47,save,2026-03-11T14:59:39.042Z,cultural,0.680,0.764,0.760,0.618,0.662,0.602,50,1,0,1
user_178,dest_8,view,2026-02-28T05:34:00.017Z,cultural,0.494,0.321,0.555,0.866,0.264,0.412,27,0,0,0
user_175,dest_70,view,2026-03-02T14:42:49.100Z,adventure,0.314,0.715,0.608,0.695,0.441,0.530,49,0,0,0
user_88,dest_58,trip_click,2026-03-03T03:24:37.613Z,cultural,0.708,0.793,0.595,0.491,0.770,0.888,11,1,0,1
user_104,dest_40,save_trip,2026-03-21T14:35:53.746Z,mixed,0.358,0.366,0.676,0.670,0.727,0.517,35,1,1,1
user_96,dest_15,trip_click,2026-03-15T23:54:20.946Z,adventure,0.719,0.470,0.563,0.783,0.273,0.599,33,1,1,1
user_6,dest_94,view,2026-02-26T04:13:11.417Z,mixed,0.118,0.523,0.590,0.730,0.029,0.368,39,0,0,0
user_12,dest_62,save_trip,2026-03-25T10:32:40.204Z,cultural,0.926,0.711,0.994,0.745,0.671,0.614,36,1,1,1
user_166,dest_61,view,2026-03-21T15:02:49.641Z,relaxation,0.454,0.917,0.430,0.465,0.139,0.403,7,0,0,0
user_193,dest_39,view,2026-03-18T03:00:33.279Z,mixed,0.901,0.545,0.600,0.799,0.364,0.441,47,0,0,0
user_114,dest_12,save_trip,2026-03-04T13:28:59.344Z,cultural,0.815,0.615,0.629,0.217,0.529,0.589,8,1,0,1
user_78,dest_22,book,2026-02-25T19:00:34.849Z,relaxation,0.929,0.542,0.715,0.295,0.062,0.542,15,1,0,1
user_106,dest_25,view,2026-03-23T14:35:53.031Z,mixed,0.412,0.363,0.392,0.341,0.436,0.817,31,0,0,0
user_47,dest_93,view,2026-03-05T07:00:11.658Z,relaxation,0.842,0.229,0.464,0.606,0.980,0.683,9,0,1,1
user_161,dest_89,view,2026-03-15T00:18:08.717Z,cultural,0.940,0.914,0.753,0.281,0.229,0.653,32,0,1,1
user_19,dest_42,save_trip,2026-03-26T08:32:38.854Z,mixed,0.256,0.822,0.607,0.631,0.337,0.548,13,1,0,1
user_42,dest_80,view,2026-03-11T02:41:05.154Z,cultural,0.921,0.588,0.357,0.203,0.668,0.535,22,0,1,1
user_71,dest_13,save,2026-03-15T09:23:30.786Z,adventure,0.122,0.556,0.227,0.621,0.094,0.581,41,1,0,1
user_22,dest_53,save_trip,2026-03-02T10:41:53.232Z,mixed,0.196,0.508,0.904,0.267,0.391,0.604,37,1,0,1
user_62,dest_51,book,2026-03-08T03:13:24.527Z,mixed,0.666,0.756,0.735,0.341,0.845,0.701,10,1,0,1
user_155,dest_73,trip_click,2026-03-09T13:01:44.184Z,relaxation,0.296,0.725,0.257,0.394,0.994,0.707,11,1,0,1
user_81,dest_57,book,2026-03-03T05:25:31.496Z,mixed,0.833,0.783,0.568,0.348,0.606,0.578,8,1,1,1
user_176,dest_29,view,2026-03-20T03:57:30.773Z,cultural,0.232,0.674,0.645,0.708,0.968,0.393,50,0,1,1
user_32,dest_79,book,2026-03-25T22:33:38.259Z,mixed,0.516,0.809,0.629,0.437,0.695,0.775,12,1,0,1
user_36,dest_26,save,2026-03-22T05:15:48.947Z,mixed,0.131,0.466,0.633,0.407,0.043,0.511,5,1,0,1
user_125,dest_64,save,2026-03-16T09:26:41.161Z,relaxation,0.331,0.651,0.614,0.236,0.281,0.719,32,1,0,1
user_123,dest_61,view,2026-03-02T12:24:59.245Z,relaxation,0.454,0.814,0.223,0.784,0.901,0.529,43,0,1,1
user_50,dest_47,book,2026-03-19T10:28:59.594Z,cultural,0.680,0.652,0.719,0.722,0.908,0.816,17,1,1,1
user_191,dest_12,view,2026-03-23T14:16:20.049Z,cultural,0.815,0.206,0.413,0.702,0.693,0.744,28,0,0,0
user_56,dest_7,view,2026-03-05T14:41:49.715Z,cultural,0.052,0.330,0.633,0.352,0.766,0.793,26,0,0,0
user_76,dest_93,save_trip,2026-03-20T14:23:37.644Z,relaxation,0.842,0.790,0.431,0.841,0.298,0.434,48,1,1,1
user_16,dest_59,view,2026-03-11T06:01:09.513Z,adventure,0.746,0.293,0.921,0.494,0.742,0.349,29,0,1,1
user_25,dest_31,view,2026-03-06T22:15:46.841Z,mixed,0.823,0.342,0.604,0.461,0.051,0.452,29,0,0,0
user_71,dest_1,save,2026-03-07T08:12:14.272Z,mixed,0.520,0.556,0.227,0.621,0.094,0.581,41,1,0,1
user_170,dest_58,view,2026-03-02T23:02:59.470Z,cultural,0.708,0.674,0.771,0.547,0.820,0.486,23,0,1,1
user_98,dest_13,view,2026-02-26T19:43:52.961Z,adventure,0.122,0.204,0.552,0.345,0.132,0.304,13,0,0,0
user_37,dest_26,view,2026-03-19T11:29:56.713Z,mixed,0.131,0.781,0.466,0.558,0.232,0.646,16,0,1,1
user_57,dest_6,view,2026-03-23T06:55:28.043Z,mixed,0.053,0.617,0.371,0.380,0.625,0.373,29,0,0,0
user_96,dest_24,view,2026-03-04T04:11:37.052Z,mixed,0.758,0.470,0.563,0.783,0.273,0.599,33,0,0,0
user_118,dest_81,save,2026-03-12T04:40:57.641Z,mixed,0.404,0.339,0.679,0.671,0.100,0.558,37,1,0,1
user_174,dest_89,view,2026-03-05T20:13:19.662Z,cultural,0.940,0.606,0.752,0.435,0.811,0.474,25,0,1,1
user_136,dest_86,view,2026-03-27T03:18:16.817Z,adventure,0.545,0.441,0.272,0.706,0.312,0.570,50,0,0,0
user_59,dest_7,save_trip,2026-03-07T12:51:56.714Z,cultural,0.052,0.683,0.485,0.705,0.968,0.847,35,1,1,1
user_116,dest_60,view,2026-03-09T18:55:53.606Z,mixed,0.516,0.566,0.355,0.721,0.756,0.620,26,0,0,0
user_2,dest_93,trip_click,2026-03-12T13:00:41.134Z,relaxation,0.842,0.468,0.300,0.327,0.270,0.352,49,1,0,1
user_73,dest_14,view,2026-03-18T06:08:23.060Z,cultural,0.002,0.816,0.692,0.230,0.512,0.846,34,0,1,1
user_97,dest_71,view,2026-03-19T17:03:01.003Z,relaxation,0.681,0.613,0.674,0.710,0.767,0.673,45,0,0,0
user_114,dest_6,trip_click,2026-03-23T02:19:20.175Z,mixed,0.053,0.615,0.629,0.217,0.529,0.589,8,1,0,1
user_120,dest_36,view,2026-03-13T15:04:24.424Z,adventure,0.235,0.766,0.716,0.962,0.085,0.686,12,0,0,0
user_45,dest_74,book,2026-03-13T07:20:09.601Z,relaxation,0.107,0.854,0.618,0.567,0.258,0.643,44,1,0,1
user_54,dest_77,save,2026-03-07T06:36:54.696Z,adventure,0.882,0.433,0.395,0.557,0.552,0.390,50,1,0,1
user_158,dest_3,view,2026-03-18T07:14:58.295Z,adventure,0.661,0.783,0.713,0.383,0.494,0.377,13,0,0,0
user_137,dest_16,view,2026-03-23T16:24:30.526Z,relaxation,0.677,0.644,0.269,0.324,0.802,0.644,22,0,0,0
user_185,dest_45,view,2026-03-18T23:13:42.404Z,relaxation,0.330,0.631,0.201,0.228,0.851,0.592,16,0,0,0
user_22,dest_4,view,2026-03-04T11:48:41.604Z,adventure,0.523,0.508,0.904,0.267,0.391,0.604,37,0,0,0
user_181,dest_53,view,2026-03-23T22:50:05.460Z,mixed,0.196,0.249,0.924,0.334,0.329,0.863,30,0,0,0
user_56,dest_58,save_trip,2026-03-24T18:39:15.453Z,cultural,0.708,0.330,0.633,0.352,0.766,0.793,26,1,0,1
user_178,dest_67,view,2026-03-27T08:54:57.699Z,cultural,0.409,0.321,0.555,0.866,0.264,0.412,27,0,1,1
user_155,dest_47,book,2026-03-08T02:45:44.810Z,cultural,0.680,0.725,0.257,0.394,0.994,0.707,11,1,0,1
user_190,dest_90,view,2026-03-07T01:11:34.989Z,cultural,0.048,0.698,0.271,0.865,0.558,0.823,44,0,1,1
user_65,dest_45,save_trip,2026-03-22T15:10:44.915Z,relaxation,0.330,0.679,0.700,0.780,0.013,0.796,22,1,0,1
user_176,dest_43,save,2026-03-26T07:17:07.870Z,adventure,0.661,0.674,0.645,0.708,0.968,0.393,50,1,0,1
user_160,dest_75,save_trip,2026-03-04T04:47:05.735Z,mixed,0.532,0.659,0.227,0.214,0.420,0.319,7,1,0,1
user_106,dest_93,save_trip,2026-03-11T05:18:21.613Z,relaxation,0.842,0.363,0.392,0.341,0.436,0.817,31,1,1,1
user_46,dest_56,view,2026-03-20T02:40:42.670Z,mixed,0.175,0.355,0.719,0.687,0.630,0.557,45,0,0,0
user_166,dest_61,view,2026-03-22T09:37:06.834Z,relaxation,0.454,0.917,0.430,0.465,0.139,0.403,7,0,0,0
user_40,dest_72,view,2026-02-28T21:34:11.428Z,cultural,0.624,0.500,0.290,0.849,0.839,0.688,21,0,0,0
user_157,dest_80,save_trip,2026-03-20T15:12:56.464Z,cultural,0.921,0.651,0.535,0.899,0.270,0.468,6,1,1,1
user_111,dest_66,trip_click,2026-03-04T05:25:13.130Z,adventure,0.876,0.541,0.781,0.647,0.741,0.569,23,1,1,1
user_94,dest_89,view,2026-03-26T15:09:31.030Z,cultural,0.940,0.975,0.427,0.466,0.351,0.864,9,0,1,1
user_34,dest_48,view,2026-03-01T17:15:41.161Z,cultural,0.773,0.577,0.296,0.763,0.439,0.858,21,0,0,0
user_162,dest_22,view,2026-03-04T14:41:19.864Z,relaxation,0.929,0.737,0.444,0.574,0.031,0.386,49,0,0,0
user_37,dest_25,trip_click,2026-03-12T18:14:19.490Z,mixed,0.412,0.781,0.466,0.558,0.232,0.646,16,1,0,1
user_91,dest_48,view,2026-02-27T08:17:15.072Z,cultural,0.773,0.431,0.786,0.666,0.027,0.447,39,0,0,0
user_104,dest_65,trip_click,2026-03-25T21:59:22.345Z,adventure,0.662,0.366,0.676,0.670,0.727,0.517,35,1,1,1
user_145,dest_57,view,2026-03-04T12:29:19.570Z,mixed,0.833,0.667,0.570,0.770,0.030,0.466,27,0,1,1
user_65,dest_87,save,2026-03-14T18:36:11.032Z,adventure,0.809,0.679,0.700,0.780,0.013,0.796,22,1,0,1
user_105,dest_75,view,2026-02-27T17:41:44.066Z,mixed,0.532,0.451,0.649,0.388,0.735,0.309,28,0,0,0
user_55,dest_57,view,2026-02-26T20:41:08.045Z,mixed,0.833,0.346,0.349,0.616,0.712,0.529,32,0,0,0
user_37,dest_27,trip_click,2026-03-03T06:00:28.514Z,cultural,0.284,0.781,0.466,0.558,0.232,0.646,16,1,1,1
user_59,dest_4,save_trip,2026-03-25T05:48:26.535Z,adventure,0.523,0.683,0.485,0.705,0.968,0.847,35,1,0,1
user_122,dest_52,save_trip,2026-03-04T04:17:33.419Z,mixed,0.436,0.240,0.725,0.926,0.106,0.317,26,1,0,1
user_16,dest_33,save,2026-03-16T01:58:34.308Z,relaxation,0.784,0.293,0.921,0.494,0.742,0.349,29,1,0,1
user_83,dest_96,view,2026-03-05T00:17:27.355Z,mixed,0.579,0.409,0.751,0.894,0.249,0.704,11,0,0,0
user_71,dest_72,trip_click,2026-03-11T18:25:41.794Z,cultural,0.624,0.556,0.227,0.621,0.094,0.581,41,1,0,1
user_9,dest_47,view,2026-03-11T07:32:27.420Z,cultural,0.680,0.529,0.869,0.606,0.697,0.783,40,0,1,1
user_196,dest_60,view,2026-03-15T11:13:31.104Z,mixed,0.516,0.493,0.762,0.651,0.473,0.512,48,0,0,0
user_168,dest_98,book,2026-03-18T15:18:33.733Z,adventure,0.615,0.733,0.559,0.580,0.591,0.604,37,1,1,1
user_39,dest_50,save,2026-03-19T17:18:58.366Z,relaxation,0.981,0.819,0.707,0.487,0.641,0.839,24,1,1,1
user_89,dest_17,view,2026-03-20T06:41:34.900Z,adventure,0.178,0.290,0.963,0.697,0.174,0.650,49,0,0,0
user_190,dest_8,save_trip,2026-03-06T12:10:39.409Z,cultural,0.494,0.698,0.271,0.865,0.558,0.823,44,1,0,1
user_155,dest_68,view,2026-03-03T22:47:54.087Z,cultural,0.845,0.725,0.257,0.394,0.994,0.707,11,0,1,1
user_150,dest_21,trip_click,2026-03-20T00:33:45.869Z,relaxation,0.612,0.556,0.980,0.374,0.838,0.411,25,1,0,1
user_72,dest_32,view,2026-03-01T04:16:32.130Z,cultural,0.037,0.972,0.346,0.328,0.108,0.322,31,0,0,0
user_175,dest_35,view,2026-03-20T00:28:57.983Z,adventure,0.173,0.715,0.608,0.695,0.441,0.530,49,0,0,0
user_118,dest_20,trip_click,2026-03-04T13:47:31.885Z,adventure,0.109,0.339,0.679,0.671,0.100,0.558,37,1,0,1
user_187,dest_72,book,2026-03-19T06:22:55.002Z,cultural,0.624,0.714,0.901,0.534,0.564,0.373,37,1,0,1
user_77,dest_60,save_trip,2026-03-08T16:51:58.226Z,mixed,0.516,0.511,0.245,0.491,0.509,0.734,42,1,1,1
user_10,dest_81,view,2026-03-22T20:21:41.071Z,mixed,0.404,0.235,0.847,0.365,0.202,0.862,2,0,0,0
user_175,dest_12,save,2026-03-17T00:02:31.025Z,cultural,0.815,0.715,0.608,0.695,0.441,0.530,49,1,0,1
user_190,dest_35,save_trip,2026-03-27T07:41:59.663Z,adventure,0.173,0.698,0.271,0.865,0.558,0.823,44,1,0,1
user_81,dest_21,view,2026-03-20T16:12:46.637Z,relaxation,0.612,0.783,0.568,0.348,0.606,0.578,8,0,0,0
user_124,dest_50,view,2026-03-15T16:18:11.520Z,relaxation,0.981,0.508,0.813,0.298,0.673,0.501,11,0,1,1
user_26,dest_38,save,2026-02-27T20:14:17.002Z,relaxation,0.369,0.317,0.668,0.317,0.104,0.355,24,1,0,1
user_179,dest_43,view,2026-03-10T00:52:50.836Z,adventure,0.661,0.740,0.612,0.452,0.359,0.496,32,0,0,0
user_126,dest_62,view,2026-03-13T21:33:31.236Z,cultural,0.926,0.740,0.555,0.510,0.891,0.811,29,0,0,0
user_150,dest_60,save,2026-03-18T16:23:27.579Z,mixed,0.516,0.556,0.980,0.374,0.838,0.411,25,1,1,1
user_192,dest_3,view,2026-03-17T11:53:45.029Z,adventure,0.661,0.301,0.622,0.637,0.598,0.357,45,0,1,1
user_176,dest_40,view,2026-03-04T10:10:37.368Z,mixed,0.358,0.674,0.645,0.708,0.968,0.393,50,0,0,0
user_89,dest_26,save,2026-03-07T08:23:59.003Z,mixed,0.131,0.290,0.963,0.697,0.174,0.650,49,1,0,1
user_20,dest_79,save,2026-03-22T13:59:11.180Z,mixed,0.516,0.390,0.712,0.286,0.008,0.822,45,1,1,1
user_13,dest_64,save,2026-03-15T08:46:38.858Z,relaxation,0.331,0.940,0.364,0.628,0.488,0.803,34,1,1,1
user_168,dest_73,book,2026-03-18T06:37:57.636Z,relaxation,0.296,0.733,0.559,0.580,0.591,0.604,37,1,0,1
user_79,dest_10,save,2026-03-04T10:59:51.148Z,cultural,0.292,0.710,0.377,0.543,0.156,0.330,40,1,0,1
user_178,dest_21,view,2026-03-10T04:46:20.131Z,relaxation,0.612,0.321,0.555,0.866,0.264,0.412,27,0,1,1
user_80,dest_21,save,2026-03-08T20:10:54.795Z,relaxation,0.612,0.694,0.719,0.360,0.712,0.865,38,1,1,1
user_59,dest_40,save,2026-03-20T07:35:31.479Z,mixed,0.358,0.683,0.485,0.705,0.968,0.847,35,1,1,1
user_97,dest_29,save,2026-03-11T17:51:43.349Z,cultural,0.232,0.613,0.674,0.710,0.767,0.673,45,1,0,1
user_41,dest_62,book,2026-03-10T11:58:36.094Z,cultural,0.926,0.729,0.517,0.762,0.902,0.530,14,1,1,1
user_158,dest_44,view,2026-03-23T12:53:43.979Z,relaxation,0.477,0.783,0.713,0.383,0.494,0.377,13,0,0,0
user_51,dest_88,view,2026-03-09T16:44:11.478Z,adventure,0.293,0.998,0.378,0.553,0.463,0.472,42,0,0,0
user_90,dest_33,book,2026-03-10T11:55:19.494Z,relaxation,0.784,0.433,0.408,0.730,0.730,0.617,18,1,1,1
user_195,dest_44,book,2026-03-07T18:17:14.483Z,relaxation,0.477,0.790,0.690,0.260,0.563,0.562,8,1,0,1
user_62,dest_64,book,2026-03-10T09:29:47.230Z,relaxation,0.331,0.756,0.735,0.341,0.845,0.701,10,1,1,1
user_5,dest_33,view,2026-02-25T20:46:35.811Z,relaxation,0.784,0.453,0.729,0.508,0.466,0.801,35,0,1,1
user_118,dest_31,view,2026-02-28T06:40:20.764Z,mixed,0.823,0.339,0.679,0.671,0.100,0.558,37,0,1,1
user_81,dest_52,view,2026-03-24T22:04:02.088Z,mixed,0.436,0.783,0.568,0.348,0.606,0.578,8,0,1,1
user_114,dest_82,view,2026-03-18T10:18:44.506Z,adventure,0.513,0.615,0.629,0.217,0.529,0.589,8,0,1,1
user_163,dest_6,view,2026-03-22T15:24:29.929Z,mixed,0.053,0.221,0.785,0.466,0.025,0.669,29,0,1,1
user_191,dest_75,view,2026-03-05T01:55:47.894Z,mixed,0.532,0.206,0.413,0.702,0.693,0.744,28,0,0,0
user_98,dest_46,view,2026-03-02T01:01:17.912Z,mixed,0.807,0.204,0.552,0.345,0.132,0.304,13,0,1,1
user_104,dest_36,book,2026-03-22T04:42:51.538Z,adventure,0.235,0.366,0.676,0.670,0.727,0.517,35,1,0,1
user_42,dest_15,save_trip,2026-03-08T11:15:12.277Z,adventure,0.719,0.588,0.357,0.203,0.668,0.535,22,1,1,1
user_178,dest_26,book,2026-03-22T01:27:23.496Z,mixed,0.131,0.321,0.555,0.866,0.264,0.412,27,1,1,1
user_74,dest_87,trip_click,2026-03-23T07:40:38.465Z,adventure,0.809,0.789,0.404,0.596,0.066,0.883,21,1,0,1
user_86,dest_37,view,2026-03-11T18:37:24.566Z,mixed,0.102,0.695,0.947,0.746,0.174,0.853,1,0,0,0
user_27,dest_8,save,2026-03-21T15:33:56.048Z,cultural,0.494,0.828,0.331,0.643,0.258,0.609,38,1,0,1
user_98,dest_46,save,2026-03-15T07:54:04.891Z,mixed,0.807,0.204,0.552,0.345,0.132,0.304,13,1,0,1
user_89,dest_49,trip_click,2026-02-28T04:49:45.380Z,adventure,0.998,0.290,0.963,0.697,0.174,0.650,49,1,0,1
user_149,dest_24,view,2026-03-03T13:05:24.073Z,mixed,0.758,0.524,0.400,0.948,0.831,0.459,24,0,0,0
user_153,dest_32,view,2026-03-20T07:31:16.084Z,cultural,0.037,0.623,0.995,0.245,0.673,0.815,43,0,0,0
user_29,dest_13,book,2026-03-06T16:46:47.714Z,adventure,0.122,0.839,0.309,0.467,0.830,0.728,17,1,0,1
user_79,dest_49,view,2026-03-02T05:51:51.167Z,adventure,0.998,0.710,0.377,0.543,0.156,0.330,40,0,0,0
user_186,dest_58,book,2026-03-15T13:27:11.194Z,cultural,0.708,0.672,0.511,0.672,0.342,0.571,18,1,1,1
user_92,dest_72,trip_click,2026-03-04T12:50:28.403Z,cultural,0.624,0.770,0.769,0.682,0.392,0.748,13,1,0,1
user_81,dest_20,book,2026-03-24T20:29:36.743Z,adventure,0.109,0.783,0.568,0.348,0.606,0.578,8,1,0,1
user_156,dest_5,save,2026-03-03T18:40:52.378Z,relaxation,0.421,0.659,0.811,0.573,0.496,0.610,5,1,1,1
user_44,dest_21,save_trip,2026-03-16T06:13:58.699Z,relaxation,0.612,0.574,0.330,0.903,0.354,0.649,10,1,0,1
user_140,dest_47,view,2026-03-13T14:18:55.717Z,cultural,0.680,0.415,0.651,0.628,0.214,0.334,38,0,0,0
user_123,dest_22,trip_click,2026-03-24T12:32:28.284Z,relaxation,0.929,0.814,0.223,0.784,0.901,0.529,43,1,1,1
user_157,dest_25,trip_click,2026-03-02T21:30:51.821Z,mixed,0.412,0.651,0.535,0.899,0.270,0.468,6,1,1,1
